awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
2233871,2022,99998.0,CSE,OAC,Carnegie Mellon University,PA,Pennsylvania,99998.0,0.0,Pennsylvania
2233872,2022,100000.0,CSE,OAC,Rochester Institute of Tech,NY,New York,100000.0,0.0,New York
2233873,2022,100001.0,CSE,OAC,University of South Carolina at Columbia,SC,South Carolina,100001.0,0.0,South Carolina
2233879,2022,327694.0,CSE,CNS,University of Maryland Baltimore County,MD,Maryland,299926.0,-27768.0,Maryland
2233894,2022,632000.0,CSE,CNS,University of California-San Diego,CA,California,600000.0,-32000.0,California
2233905,2022,20600.0,MPS,PHY,Gordon Research Conferences,RI,Rhode Island,20600.0,0.0,Rhode Island
2233923,2022,172163.0,ENG,CMMI,Rowan University,NJ,New Jersey,318054.0,145891.0,New Jersey
2233959,2022,75913.0,IRM,DAS,"Administrative Resource Center, Treasury Franchise Services",WV,West Virginia,75913.0,0.0,West Virginia
2234013,2022,400000.0,MPS,CHE,University of California-Riverside,CA,California,400000.0,0.0,California
2234028,2022,400000.0,ENG,CBET,New Jersey Institute of Technology,NJ,New Jersey,400000.0,0.0,New Jersey
2234046,2022,300000.0,ENG,CBET,Iowa State University,IA,Iowa,300000.0,0.0,Iowa
2234055,2022,49600.0,ENG,CMMI,Oregon State University,OR,Oregon,49600.0,0.0,Oregon
2234076,2022,346231.0,TIP,TI,University of California-Berkeley,CA,California,2002260.0,1656029.0,California
2234134,2022,225000.0,ENG,CBET,Pennsylvania State Univ University Park,PA,Pennsylvania,225000.0,0.0,Pennsylvania
2234135,2022,225000.0,ENG,CBET,University of Pittsburgh,PA,Pennsylvania,225000.0,0.0,Pennsylvania
2234141,2022,50000.0,TIP,TI,Massachusetts Institute of Technology,MA,Massachusetts,50000.0,0.0,Massachusetts
2234161,2022,50000.0,TIP,TI,Georgia Tech Research Corporation,GA,Georgia,50000.0,0.0,Georgia
2234176,2022,27000.0,MPS,DMS,Vanderbilt University,TN,Tennessee,27000.0,0.0,Tennessee
2234187,2022,10000.0,CSE,IIS,Carnegie Mellon University,PA,Pennsylvania,10000.0,0.0,Pennsylvania
2234188,2022,62999.0,SBE,SES,Pennsylvania State Univ University Park,PA,Pennsylvania,62999.0,0.0,Pennsylvania
2234189,2022,63000.0,SBE,SES,University of Texas at Austin,TX,Texas,63000.0,0.0,Texas
2234198,2022,49500.0,CSE,IIS,New Jersey Institute of Technology,NJ,New Jersey,49500.0,0.0,New Jersey
2234204,2022,50000.0,TIP,TI,Massachusetts Institute of Technology,MA,Massachusetts,50000.0,0.0,Massachusetts
2234206,2022,97673.0,MPS,CHE,Louisiana State University,LA,Louisiana,97673.0,0.0,Louisiana
2234227,2022,255245.0,CSE,IIS,"Georgia State University Research Foundation, Inc.",GA,Georgia,255245.0,0.0,Georgia
2234243,2022,517023.0,ENG,CBET,Tufts University,MA,Massachusetts,517023.0,0.0,Massachusetts
2234270,2022,600000.0,ENG,CBET,University of Minnesota-Twin Cities,MN,Minnesota,600000.0,0.0,Minnesota
2234277,2022,765000.0,GEO,OCE,Woods Hole Oceanographic Institution,MA,Massachusetts,765000.0,0.0,Massachusetts
2234283,2022,360000.0,ENG,CBET,Rutgers University New Brunswick,NJ,New Jersey,360000.0,0.0,New Jersey
2234288,2022,95246.0,CSE,CNS,University of Wisconsin-Madison,WI,Wisconsin,95246.0,0.0,Wisconsin
2234289,2022,538633.0,ENG,CMMI,"University of Maryland, College Park",MD,Maryland,544149.0,5516.0,Maryland
2234292,2022,296575.0,CSE,OAC,"University of Maryland, College Park",MD,Maryland,299913.0,3338.0,Maryland
2234312,2022,106466.0,SBE,SES,University of Iowa,IA,Iowa,137981.0,31515.0,Iowa
2234339,2022,22291.0,MPS,DMS,University of Maine,ME,Maine,95375.0,73084.0,Maine
2234348,2022,214641.0,EDU,EES,Worcester State University,MA,Massachusetts,247938.0,33297.0,Massachusetts
2234360,2022,299152.0,CSE,CNS,Washington University,MO,Missouri,299152.0,0.0,Missouri
2234376,2022,450000.0,CSE,CCF,"OHIO STATE UNIVERSITY, THE",OH,Ohio,450000.0,0.0,Ohio
2234443,2022,20000.0,CSE,CNS,Virginia Polytechnic Institute and State University,VA,Virginia,20000.0,0.0,Virginia
2234496,2022,50000.0,TIP,TI,New Jersey Institute of Technology,NJ,New Jersey,50000.0,0.0,New Jersey
2234498,2022,102654.0,ENG,CBET,University of Arkansas,AR,Arkansas,159940.0,57286.0,Arkansas
2234580,2022,19230.0,BIO,DBI,"Cary Institute of Ecosystem Studies, Inc.",NY,New York,19230.0,0.0,New York
2234582,2022,15000.0,CSE,CNS,Florida Atlantic University,FL,Florida,15000.0,0.0,Florida
2234657,2022,6904787.0,EDU,DGE,Trustees of Boston University,MA,Massachusetts,1304282.0,-5600505.0,Massachusetts
2234658,2022,795413.0,EDU,DGE,Lehigh University,PA,Pennsylvania,138000.0,-657413.0,Pennsylvania
2234660,2022,7664581.0,EDU,DGE,New York University,NY,New York,2036362.0,-5628219.0,New York
2234661,2022,553000.0,EDU,DGE,New Jersey Institute of Technology,NJ,New Jersey,92000.0,-461000.0,New Jersey
2234662,2022,5152806.0,EDU,DGE,Oregon State University,OR,Oregon,1239188.0,-3913618.0,Oregon
2234667,2022,28092672.0,EDU,DGE,Northwestern University,IL,Illinois,4927352.0,-23165320.0,Illinois
2234676,2022,60000.0,TIP,ITE,Carnegie Mellon University,PA,Pennsylvania,50000.0,-10000.0,Pennsylvania
2234683,2022,2837333.0,EDU,DGE,SUNY at Stony Brook,NY,New York,887040.0,-1950293.0,New York
2234684,2022,254000.0,EDU,DGE,Rutgers University Newark,NJ,New Jersey,46000.0,-208000.0,New Jersey
2234686,2022,1081167.0,EDU,DGE,Tufts University,MA,Massachusetts,215500.0,-865667.0,Massachusetts
2234690,2022,6437434.0,EDU,DGE,Colorado State University,CO,Colorado,1460592.0,-4976842.0,Colorado
2234691,2022,550084.0,EDU,DGE,Sloan Kettering Institute For Cancer Research,NY,New York,240084.0,-310000.0,New York
2234692,2022,1252732.0,EDU,DGE,San Diego State University Foundation,CA,California,303600.0,-949132.0,California
2234693,2022,7326928.0,EDU,DGE,University of Virginia Main Campus,VA,Virginia,1538133.0,-5788795.0,Virginia
2234694,2022,663000.0,EDU,DGE,University of Southern Mississippi,MS,Mississippi,92000.0,-571000.0,Mississippi
2234695,2022,763200.0,EDU,DGE,University of Arkansas,AR,Arkansas,147200.0,-616000.0,Arkansas
2234713,2022,50000.0,TIP,TI,Icahn School of Medicine at Mount Sinai,NY,New York,50000.0,0.0,New York
2234796,2022,99282.0,MPS,DMR,University of Chicago,IL,Illinois,99282.0,0.0,Illinois
2234802,2022,300000.0,CSE,IIS,Cornell University,NY,New York,300000.0,0.0,New York
