awardeeName,count_total,total_obligated_funds
"GEOFINANCIAL ANALYTICS, INC.",1,295000
GFORCE ANIMATION INC,1,274828
"GLOBAL ATMOSPHERIC TECHNOLOGIES AND SCIENCES, INC.",4,1974531
"GLOBAL COOLING TECHNOLOGY GROUP, LLC",1,978431
GLOBAL ENERGY CORPORATION,1,294936
GLOBAL FUND FOR WOMEN INC,1,299941
GLOBAL PHILANTHROPY PARTNERSHIP,1,330000
GMTO CORPORATION,2,13000000
GODWIT KEY COMPANY,1,1192647
GRAIN WEEVIL CORPORATION,1,1669250
GRAVEL CAPITAL LLC,1,1000000
"GREEN SUN MEDICAL, LLC",1,1450657
"GREENKEY, LLC",2,550000
"GREENSIGHT AGRONOMICS, INC.",2,1881486
"Gaetz, Christian Richard",2,300000
Gallaudet University,15,11874854
Galveston College,1,2887873
"Garcia, Fortino M",1,150000
"Garcia, Joshua",1,115000
"Gardner, Kristen Elise",1,300000
"Gaynor, Michelle L",2,480000
"Geller, Sarah R",1,300000
George Mason University,173,83840612
George Washington University,123,73322203
Georgetown University,64,36808924
Georgia College,5,1267131
Georgia Gwinnett College,10,2428030
Georgia Piedmont Technical College,3,1797852
"Georgia Southern University Research and Service Foundation, Inc",21,14143002
"Georgia State University Research Foundation, Inc.",76,53476103
Georgia Tech Applied Research Corporation,2,705100
Georgia Tech Research Corporation,455,412686586
"German, Austin A",1,170000
Gettysburg College,5,1622968
Giant Screen Films,1,3078314
"Gilmer, Humberto Bruce",1,300000
"Girouard-Hallam, Lauren Nicole",1,160000
Gloucester Marine Genomics Institute,2,1760639
"Goeckeritz, Charity Z",1,249000
Goeppert LLC,1,275000
"Goldman, Katherine May",1,190000
"Golec, Joseph E",1,330000
"Gong, Yan",1,184000
Gonzaga University,4,888985
"Gorchov Negron, Alan",2,404000
Gordon Research Conferences,40,959418
Goshen College,1,556994
"Gotti, Felix",1,300000
Governors State University,2,2000000
Grambling State University,5,4792899
Grand Rapids Community College,1,1000000
Grand Valley State University,15,4197030
Grand View College,2,174344
Greater Washington Educational Telecommunications Association,1,1287634
Green River Community College,3,3399749
Greenville Technical College,1,436009
"Griffin, Chasen D",1,240000
"Griffing, Aaron H",1,138000
"Griffith, Emily J",2,640000
"Grindstaff, Gillian R",1,150000
Grinnell College,8,2312553
"Guerrera, Alexa G",1,240000
Guilford College,2,1093857
Gulf of Maine Research Institute,5,2895602
Gustavus Adolphus College,2,610013
"Gwynne, Araminta Amabel",1,150000
"Gyllenhaal, Ethan F",2,480000
H. Lee Moffitt Cancer Center and Research Institute Hospital Inc,4,1568039
"HABITAWARE, INC.",1,1522258
"HALO CURES, INC.",1,1210728
HALOMINE INC.,1,1714233
HARRIS-STOWE STATE UNIVERSITY,5,5820324
HEALTHPARTNERS Institute,1,995110
"HEAT INVERSE, LLC",2,3399996
HELIOS POMPANO INC,1,955736
"HELIPONIX, LLC",1,1665190
HENSUN INNOVATION LLC,1,275000
"HEROWEAR, LLC",2,1997320
"HEXAKIT, INC.",2,550000
"HEYKIDDO, LLC",1,1337783
"HIGHER EDUCATION, CONNECTICUT BOARD OF REGENTS FOR",1,350000
HYPERION TECHNOLOGIES LLC,2,598772
"HYPRLIFT, INC.",2,3382506
"HYQ RESEARCH SOLUTIONS, LLC",1,998104
"Hafner, Elena S",1,190000
"Haine, Peter James",1,150000
"Hale, Kayla R S",1,240000
"Hall, Zack B",1,300000
"Hallgren, Maximilien",1,150000
"Hamann, David Linus",2,380000
Hamilton College,7,1439976
Hamline University,1,118384
Hampton University,18,8529357
"Hankel, Camille",1,202000
"Hardison, Emily A",1,240000
Harford Community College,3,1415005
"Hartman, Jasenia",1,160000
Hartnell College,1,199951
Harvard University,213,165182646
Harvey Mudd College,13,4028649
Haskell Foundation,1,20377442
Haverford College,13,3327784
Hawaii Pacific University,5,3212572
"He, Xiaoyu",1,150000
Health Research Incorporated/New York State Department of Health,1,63275
"Hejazi, Nima S",2,300000
"Heliobiosys, Inc.",1,1125086
"Hemenway, Gregory",1,300000
Hendrix College,4,5960056
"Hennelly, Lauren Mae",1,207000
"Henning, Paige M",2,455186
"Henry, Christian",2,276000
"Hernandez, Felipe",1,190000
"Hickok, Abigail",1,190000
High Point University,4,486468
Higher Education Policy Commission,3,15745617
Highline Community College,2,422166
Hillsborough Community College,2,1092869
Himet Materials LLC,1,274972
Hinds Community College-Utica,2,1802204
"Hippee, Alaine C",2,480000
History of Science Society,1,430050
"Ho, Stephanie H",2,640000
Hobart and William Smith Colleges,4,1046336
"Hodge, Rachel",2,480000
"Hodges, Anthony",1,300000
Hofstra University,14,11473563
"Hogan, Michael P",2,480000
Hollins University,1,999998
Holy Family College,1,392960
Holyoke Community College,2,2011458
"Hong, David",1,150000
Hood College,2,745588
Hope College,9,3512506
Horizon Research Inc,5,8451801
"Hotchkiss, James Emerson",1,190000
Housatonic Community College,1,678039
Houston Baptist University,2,699641
Houston Community College,1,281186
Howard University,58,37942967
"Howes, Bolton John",1,180000
"Huang, Caroline",1,330000
"Huang, Daoji",2,300000
Hubbard Brook Research Foundation,2,696717
Hudson County Community College,2,898617
Hudson Valley Community College,4,1698314
HudsonAlpha Institute for Biotechnology,3,2947229
"Hugelmeyer, Cole W",1,150000
"Hunter, Nathanael H",1,200000
Huston-Tillotson University,4,882334
IAMBIC INC.,1,990900
"ICTERO MEDICAL, INC.",1,1466649
"ILLUMINATE THERAPEUTICS, INC.",2,550000
IMMERGO LLC,1,1000000
IMPACT ALLIES INC,3,3480595
IN VIRTUALIS LLC,1,295000
INA SOLUTIONS INC.,1,998332
INATURALIST,1,140639
INCUENTRO LLC,1,304951
"INFORMUTA, INC.",1,275000
"INFRATIE SOLUTIONS, LLC",2,549254
"INIA BIOSCIENCES, INC.",2,550000
INITIUM AI INC.,1,985389
"INNATRIX, INC.",1,1202301
"INQUIRING SYSTEMS, INC.",2,594554
"INSIGNA, INC.",1,275000
"INSILICA, LLC",2,2908400
INSILICOM LLC,1,3865636
INSOMA BIO INC,1,1673065
"INSTITUTE FOR FUTURE INTELLIGENCE, INC.",5,3720870
INTACT THERAPEUTICS,1,999783
"INTERNATIONAL ALLIANCE FOR PHYTOBIOMES RESEARCH, INC.",3,982670
INTERNET2,5,23653411
"INTUITAP MEDICAL, INC.",2,2000000
IONA UNIVERSITY,2,744999
IONICSCALE LLC,1,1000000
IQInetics Technologies Inc.,1,1487198
"IRIS LIGHT TECHNOLOGIES, INC.",2,2000000
IRONSIDES MEDICAL INC,1,275000
IRRADIANT SENSING CORPORATION,1,295000
"ISEECHANGE, Inc.",1,1199999
"ISLEX THERAPEUTICS, LLC",1,275000
Icahn School of Medicine at Mount Sinai,11,4219617
Idaho State University,16,11291623
Illinois Central College,1,349397
Illinois Institute of Technology,54,20610768
Illinois Wesleyan University,1,4649261
"ImageCat, Inc.",1,79659
Independence Community College,2,633905
Indian Hills Community College,3,2117837
Indian River State College,5,10539483
Indiana Institute of Technology,2,723698
Indiana State University,4,883429
Indiana University,220,183660122
Indiana University of Pennsylvania,3,1786160
Indiana Wesleyan University,4,1873936
"Ingles, Kevin C",1,300000
InnovBot LLC,2,2128390
Institute For Advanced Study,7,29403740
Institute for Global Environmental Strategies,1,297658
Institute for Learning Innovation,1,1992484
Institute for Systems Biology,8,8581089
International Computer Science Institute,8,3803752
Iowa State University,207,130722607
"Itgen, Michael",1,240000
Ithaca College,8,4427466
Ivy Tech Community College of Indiana,3,876623
"Iyer, Sumun S",1,190000
"J. Craig Venter Institute, Inc.",9,14773878
JELIKALITE LLC,1,959066
"JOHNSON, O.S. TECHNICAL INSTITUTE",1,307706
JSTOR,1,49110
JUNO PROPULSION INC.,1,274969
Jackson Community College,4,1706984
Jackson State University,28,22819696
"Jackson, Joseph S",1,190000
Jacksonville State University,3,3276953
Jacksonville University,2,1018697
"Jadbabaie, Arian",2,600000
"Jain, Yajit",2,300000
"Jalbert, Madeline Claire",1,160000
James A. Rhodes State College,1,526765
James Madison University,25,11448544
"Jarecke, Karla M",2,284168
Jarvis Christian College,3,2399036
Jefferson College,1,400000
"Ji, Lena",1,150000
Joan and Sanford I. Weill Medical College of Cornell University,6,7375349
"Jobe, Justus G D",1,240000
John Carroll University,4,4328631
Johns Hopkins University,220,171754501
Johnson C. Smith University,3,877782
Johnson County Community College,4,3003203
Johnston Community College,2,1280848
Joliet Junior College,2,186660
"Jolly, Amber R",1,240000
"Jones, Diamond T",2,600000
"Jones, Edna Luo",1,300000
"Jovinelly, Eric Michael",2,380000
"JuneBrain, Inc.",2,3865972
Juniata College,3,1813782
KAI TECH LLC,1,275000
"KATABASIS, INC.",1,288749
"KAYA FERTILIZERS, LLC",1,305000
KILELE HEALTH LLC,1,1199708
Kalamazoo College,3,749612
"Kalashnikov, Dmitri Alexander",1,202000
"Kalion, Inc.",2,2892310
"Kannan, Siddarth Pavan",2,380000
Kansas City Kansas Community College,3,1494099
Kansas State University,86,52511232
"Kapiamba, Alex Muteba",1,190000
"Karin, Benjamin R",1,240000
"Katsevich, Annie",1,150000
Kean University,12,9015229
"Kean, Kiera Eloise",1,150000
"Kearly, Alyssa",2,498000
Kellogg Community College,2,1187566
"Kelly, Patrick Quinn",1,300000
"Kemp, Dewey Dominique",1,150000
Kennebec Valley Community College,1,563823
Kennesaw State University Research and Service Foundation,43,12335627
"Kenseth, Christopher M",1,190000
Kent State University,56,25139515
Kentucky Community & Technical College System,13,8481832
Kentucky Science & Technology Corporation,5,22576031
Kentucky State University,3,5155709
Kenyon College,5,1789998
Kepley Biosystems Incorporated,1,1225234
Kettering University,6,1971352
Kilgore College,1,349818
"Kim, Minjae",1,160000
King's College,2,1264632
"King, Darren Andrew",1,150000
"Kintsugi Mindful Wellness, Inc.",2,3000000
"Kirkpatrick, Heather Margaret",1,180000
"Klug, Michael R",1,150000
"Knight, Hannah",2,380000
"Knisley, Matthew",2,340000
Knology Ltd.,2,499990
Knox College,1,154586
"Kopania, Emily Emiko Konishi",2,480000
"Kosterlitz, Olivia",2,480000
"Krishna, Siddhi",2,300000
"Krueger, Robert A",1,190000
"Kuan, Jeffrey",1,190000
"Kulik, Zoe",1,180000
"Kumar, Bhanu",1,150000
"Kuperberg, Vivian Zieve",2,340000
Kutztown University,4,1909472
"Kuzbary, Miriam",1,150000
LABBY INC.,1,1069991
"LAMBDA FUNCTION, INC.",2,1999884
LASER GRAPHICTRONICS LLC,1,275000
LATTICE THERAPEUTICS INC,1,274947
LAWRENCE UNIVERSITY OF WISCONSIN,1,431200
LEARN COLLABORATE INC.,1,999942
LEARN: Lonestar Education and Research Network,1,890486
"LEARNING NETWORK, LLC, THE",1,989117
LELANTOS INC.,2,3085158
LEVIOSA TECHNOLOGIES LLC,2,550000
"LIFE SEAL VASCULAR, INC.",2,549094
LIFENGINE ANIMAL HEALTH LABORATORIES INCORPORATED,1,1668708
LIMAR AI INC,2,549808
LIMELIGHT STEEL INC.,2,550000
"LITERASEED, INC.",1,997693
"LITTLE ROOM INNOVATIONS, LLC",1,274975
LONG ISLAND CHILDREN'S MUSEUM,2,359778
"LOOMIA TECHNOLOGIES, INC.",2,590000
LSU Health Sciences Center -Shreveport,1,50000
"LUCA AI, LLC",1,304935
"LUCENDI, INC.",2,3799988
LUMONIQ INC,2,550000
"LYOWAVE, INC",1,304436
La Salle University,1,143652
La Sierra University,1,199952
Lac Courte Oreilles Ojibwa Community College,1,250000
Lafayette College,16,3143806
Lake Area Technical College,1,342504
Lake Forest College,2,700000
Lake Superior State University,1,384660
Lakeshore Technical College,2,986560
Lamar University,5,1373101
"Lamarche, Alicia Mae",1,150000
"Lampert, Amichai",2,380000
"Lamperty, Justine Therese",1,207000
Landmark College,2,3998377
"Landry, Michael",1,150000
Lane College,1,399225
Laramie County Community College,2,699702
"Large, Christopher Ryan Livingston",1,240000
"Larsen, Tyler J",2,480000
"Larson, Drew A",1,216000
Las Cumbres Observatory Global Telescope Network,9,11826457
"Law, Michael",1,170000
Lawrence Technological University,10,2093828
Lawson State Community College,1,500000
Le Moyne-Owen College,2,1999110
Lebanon Valley College,2,480000
Lee College,1,599895
"Legan, Andrew Wesley",2,276000
Lehigh Carbon Community College,1,200000
Lehigh University,93,53228926
"Lemma, Bezia",1,240000
"Leon Guerrero, Sibylla",1,138000
Lewis and Clark College,16,5239675
"Lewis, Briley Lynn",1,330000
"Lewis, Madeline J",2,0
"Lewis, Monica A",2,300000
"Li, Ray",1,150000
"Li-Huerta, Siyan",2,380000
"Liberty University, Inc.",3,683542
"Lichtman, Jared Duker",1,190000
Limestone College,2,1548944
Lincoln Park Zoo,2,3190324
Lincoln University,9,3649282
"Link, Kathryn Grace",1,150000
"Lipton, Max",2,380000
Little Priest Tribal College,3,2730824
Livingstone College,1,2242569
"Lombardi, Elizabeth",1,240000
Long Island University,4,788787
Longwood University,4,2101327
"Lopatto, Patrick",2,300000
"Lopez, Jonathan Williams",1,240000
"Lopez, Marco Antonio",1,300000
Lorain County Community College,2,3415620
Los Angeles County Museum of Natural History Foundation,9,5252427
Los Angeles Harbor College,1,349534
Los Angeles Mission College,2,359746
Los Angeles Pierce College,3,1672324
Los Angeles Valley College,3,2000000
Louisiana Board of Regents,3,26049437
Louisiana State University,208,97042913
Louisiana State University Agricultural Center,4,4843432
Louisiana State University Health Sciences Center,1,389355
Louisiana State University at Alexandria,1,650000
Louisiana Tech University,17,20724842
"Love, Cara N",1,207000
Lowell Observatory,8,3014761
"Loyd, Kaitlyn F",2,380000
Loyola Marymount University,4,3549261
"Loyola University Maryland, Inc.",3,1323211
Loyola University of Chicago,33,11243652
"Loyola University of Chicago, Health Sciences Campus",3,691968
"Lucey, Madeline",1,330000
"Luo, Sammy Y",1,190000
Luther College,1,185463
"Lutz, Patrick G",1,150000
LuxNour Technologies Inc,1,304507
Lycoming College,1,994971
Lygos Inc.,1,2375361
"Lyman, Rylee A",1,150000
"MACROCOSM, INC.",2,4143180
"MADISON SCIENTIFIC, INC.",1,1199723
MAGNIFY BIOSCIENCES INC.,1,274998
MAGSORBEO BIOMEDICAL CORP,1,305000
MAIJKER CORP.,1,1000000
MAIN ENGINEERING LLC,1,305000
MAINE DEVELOPMENT FOUNDATION,1,46076
"MAMMAE BIOSCIENCES, INC.",1,271443
"MANZANITA COOPERATIVE, INC.",1,254903
"MAPLESS AI, INC.",1,1199999
"MARCONI SOCIETY, INC.",1,1400
"MARINE TECHNOLOGY SOCIETY, INC.",2,1189034
"MARK O'NEILL, LLC",2,549048
"MENTE, INC.",1,1011981
"METACULUS, INC.",1,175000
"METEORA3D, INCORPORATED",1,275000
"MFNS TECH, INC.",2,1984028
MGH Institute of Health Professions,3,3522995
MICHIGAN STATE UNIVERSITY FOUNDATION,1,999547
MILITARY SEALIFT COMMAND,1,17875534
MIMIC SYSTEMS INC,1,275000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,1,343405
MINNOWTECH LLC,2,3008470
MISSISSIPPI STATE UNIVERSITY ASSURE RESEARCH & DEVELOPMENT CORPO,1,999997
"MITO-BIOTHERAPEUTICS, INC.",1,274855
"MIXTA RE, INC",1,304200
MODENDO INC.,1,994138
"MOLECULAR INTERFACES, LLC",1,274953
MOLECULAR SURFACE TECHNOLOGIES LLC,2,511724
MOLLOY UNIVERSITY,4,7156728
MOLTEN MATERIALS LLC,2,549982
"MOLTEN SALT SOLUTIONS, LLC",1,1500000
MONTCALM COMMUNITY COLLEGE,1,0
MULTIPLIER,1,24486
MUON VISION INC.,2,2956572
MUSEUM ASSOCIATES,1,369186
"MVMNT-X, INC.",1,275000
MYANIML,1,274866
MYCONAUT LLC,1,275000
MYVILLAGE PROJECT INC,1,999828
"Maayan, Inbar",2,480000
"MacDonald, Hannelore A",1,207000
Macalester College,12,4210838
"Macias, Diana Stephanie",1,240000
Madison Area Technical College,5,18573877
"Madison, Imani Adia",1,249000
Maine Mathematics and Science Alliance,8,8943218
"Maldague, Dominique Francoise",1,150000
"Manafzadeh, Armita Razieh",1,138000
"Mandelshtam, Yelena",1,190000
"Manea, Catherine",1,330000
Manhattan College,6,2063443
Manhattanville College,1,199970
"Mann, Michael Everett",1,174000
"Marante Valdes, Carlos Antonio",1,300000
Marian University,2,2252386
Maricopa County Community College District,9,3333882
Marine Biological Laboratory,17,17056937
Marine Environmental Sciences Consortium,1,2512858
Marion Technical College,4,2828701
Marquette University,33,13836636
"Marquez, Alan",2,600000
Marshall University Research Corporation,16,6867579
"Martin, Bruce Stagg",2,498000
"Martin, Gage",1,150000
"Martinez Grundman, Jaime Enrique",1,240000
"Martínez-Gómez, Jesús",1,216000
Marymount University,7,3205180
Maryville College,2,1999760
Marywood University,1,749834
"Massa, Megan G",1,0
Massachusetts Eye and Ear Infirmary,1,400000
Massachusetts General Hospital,4,2149692
Massachusetts Institute of Technology,328,371210358
Materials Research Society,2,61000
Mathematical Association of America,7,5517896
Mathematical Sciences Research Institute,3,26701040
"Matilsky, Loren",2,640000
"Matzke, Ryan W",1,150000
Mayo Clinic Rochester,8,4340574
McDaniel College,1,437393
"McGinnis, Daniel A",2,380000
"McKean, Stephen",1,150000
"McKenzie, Marion",1,180000
McLean Hospital,1,2790474
"McMillon, Emily",1,190000
McMurry University,3,931757
Medical College of Wisconsin,4,1095048
Meharry Medical College,11,5748396
"Mendiola, Sandra Y",2,480000
Menlo College,1,30000
"Mercado, Francisco J",1,291200
Mercer University,7,2339655
Mercyhurst University,1,167895
Merrimack College,3,1832199
"Merritt, Rachael L",2,600000
Metropolitan College of New York,1,1707270
Metropolitan State University of Denver,4,2566430
"Meyer, Chandler Marie",1,249000
Miami Dade College,6,7203060
Miami University,41,16822005
"Michail, Joseph M",2,660000
Michigan State University,372,246743971
Michigan Technological University,69,41636750
Middle Georgia State University,1,374782
Middle Tennessee State University,23,13512816
Middlebury College,14,3987611
Midwestern State University,1,184066
Midwestern University,2,864596
Miles College,3,1671160
Millersville University,2,2430158
Millikin University,1,1000000
Milwaukee 7 Water Council,1,995943
Milwaukee Area Technical College,1,649740
Milwaukee School of Engineering,1,999974
Minneapolis Community and Technical College,1,850000
Minnesota Riverland Technical College (Austin Campus),1,348486
Minnesota State Colleges & Universities,1,343405
Minnesota State University Moorhead,2,998720
"Minnesota State University, Mankato",5,3037944
MiraCosta College,1,649986
Mississippi Gulf Coast Community College,1,649120
Mississippi State University,86,53372106
Mississippi University For Women,2,1655142
Mississippi Valley State University,3,541731
Missouri Botanical Garden,4,2011220
Missouri State University,4,2321251
Missouri University of Science and Technology,69,23602532
Missouri Western State University,3,1496238
Mitre Corporation Virginia,5,24355109
"Miyagi, Miriam",1,240000
"Molitor, Zachary",1,180000
"Monge, Richard",1,300000
Monmouth University,2,349998
Monroe Community College,2,914292
Montana State University,104,66118782
Montana State University - Billings,1,499999
Montana Technological University,8,5028040
Montclair State University,36,15769533
"Monteiro, Nariel",1,300000
Monterey Bay Aquarium Research Institute,12,79455772
Monterey Institute For Research in Astronomy,2,1143520
Montgomery College,5,3796685
Montgomery County Community College,1,573347
"Montoya-Vega, Gabriel Jaime",1,300000
"Moore, Kelsey R",1,180000
Moravian University,1,500846
Morehead State University,3,1339887
Morehouse College,12,27038082
Morehouse School of Medicine,1,840872
"Morfe, Peter",2,340000
Morgan                  Victoria       M,2,414000
Morgan State University,51,30952428
"Morgridge Institute for Research, Inc.",4,9155061
Morton Arboretum,3,2597059
"Mosley, Camille",1,240000
Mote Marine Laboratory,5,1573849
Motlow State Community College,5,957077
"Mouillé, Lawrence",2,300000
Mount Holyoke College,5,1222352
Mount Hood Community College,2,1299998
"Mount Mary University, Inc.",1,999760
Mount San Antonio College,7,2959336
Mount St. Mary's University,2,1516141
Mount Wachusett Community College,1,350000
Mountwest Community & Technical College,1,552031
"Mui, Stephanie",2,380000
"Mundy, Samuel",1,150000
"Muragishi, Gregg A",1,160000
"Murphy, Sara Edinger",1,202000
Murray State University,4,1486024
Museum of Science and Industry,1,1279630
"NALA SYSTEMS, INC.",1,1374283
NANORES LLC,1,305000
NASA/GODDARD SPACE FLIGHT CENTER,1,1887380
NASUS MEDICAL INC.,1,1198807
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2,16000000
"NATIONAL RESOURCE CONSULTANTS, LLC",2,550000
"NATRX, INC.",2,2990652
NEARABL INC.,2,550000
"NEOCARE INNOVATIONS, INC.",1,943819
"NEURALTRAK, INC",2,590000
NEUROBIONICS INC,2,508912
"NEURODYNE, INC.",1,1345748
NEUROSMART INC.,1,1198750
NEUROTECHR3 INC.,2,1995470
NEVADA STATE UNIVERSITY,1,1000000
"NEW ENGLAND HEMOLYTICS, INC.",1,274858
"NEW HAMPSHIRE ACADEMY OF SCIENCE, INC.",1,1447987
"NEW UNIVERSITY OF BRIDGEPORT, INC., THE",1,199998
NEWHAPTICS CORP.,3,3117937
"NEXILICO, INC.",1,1623498
NEXTCORPS INC,2,9117672
NEXTGENEDU INC,1,304993
NEXUMA L.L.C.,1,304988
NJEDge.Net,3,1442148
NONA TECHNOLOGIES,1,274994
NOON ENERGY INC.,1,1000000
"NORCON TECHNOLOGIES HOLDING, INC.",1,1151724
"NORTHWEST KANSAS TECHNICAL COLLEGE, INC.",1,297792
"NOSTOPHARMA, LLC",1,1016000
NOVAURUM BIOSCIENCES INCORPORATED,1,305000
"NOVEL FARMS, INC.",1,1582910
"NOVOCLADE, INC.",2,2007882
"NOVOTHELIUM, LLC",1,274194
NUCLEON POWER INC,1,273834
NUMENTUS TECHNOLOGIES INC.,1,285454
NUTRAMAIZE LLC,1,1551842
"Naff, Keaton Thomas",1,150000
"Nakamura, Kai",1,190000
"Nakashima, Whitney",2,480000
Nanopath Inc.,1,1497781
Nantucket Maria Mitchell Association,1,230639
Nash Community College,1,539574
Nassau Community College,2,2295002
Nathan S Kline Institute for Psychiatric Research,1,3740073
National Academy of Sciences,42,45387442
National Bureau of Economic Research Inc,69,34660418
National Center For State Courts,1,349667
National Center for Genome Resources,1,1346558
National Council for Science and the Environment/CEDD,1,49697
National Girls Collaborative,2,589442
National Institute of Statistical Sciences,2,38000
National Marine Mammal Foundation,1,643665
National Opinion Research Center,11,22560587
National Park Community College,2,0
National Postdoctoral Association,1,49736
National Tropical Botanical Garden,1,61519
National University,1,400000
National-Louis University,3,2686734
Navajo Technical University,5,5790318
Naval Postgraduate School,7,3034019
"Navy, United States Department of the",1,20873164
"Neal, Isaac",1,190000
Nebraska Wesleyan University,2,8504
"Negrete, Benjamin",1,240000
"Nelsen, Nicholas H",1,190000
Neumann University,1,649556
Nevada System of Higher Education,3,31723535
"Nevada System of Higher Education, Desert Research Institute",20,7348664
New College of Florida,3,605595
New Iridium,1,1000000
New Jersey City University,2,868308
New Jersey Institute of Technology,116,62780805
New Mexico Consortium,10,2235642
New Mexico Highlands University,5,9457734
New Mexico Institute of Mining and Technology,37,17254475
New Mexico Museum of Natural History Foundation,1,248127
New Mexico State University,61,41350000
New York Botanical Garden,12,4401166
New York Hall of Science,4,7426118
New York Institute of Technology,10,2659146
New York State Education Department,2,813924
New York University,255,155126299
New York University Medical Center,16,20735291
"Neylan, Isabelle P",2,480000
Niagara University,1,100000
"Nicoletti, Matthew",1,190000
"Nonnamaker, Emily",2,480000
Norfolk State University,19,17736588
Normandale Community College,3,2248304
North Arkansas College,5,2676535
North Carolina Agricultural & Technical State University,77,56970999
North Carolina Central University,19,15008272
North Carolina State University,372,246689840
North Carolina Wesleyan College,1,251835
North Central College,3,1630562
North Dakota State University Fargo,47,56864872
North Park University,1,500000
"NorthWest Research Associates, Incorporated",13,5146003
Northcentral Technical College,2,685038
Northeast Ohio Medical University,3,1123050
Northeast State Technical Community College,2,599994
Northeast Wisconsin Technical College,2,861816
Northeastern Illinois University,8,1837443
Northeastern State University,2,504176
Northeastern University,283,246852931
Northern Arizona University,84,65984594
Northern Forest Center,1,998056
Northern Illinois University,43,18403658
Northern Kentucky University,6,1818722
Northern Michigan University,1,105402
Northern State University,2,64828
Northern Virginia Community College,8,6043074
Northland Community & Technical College,4,16139222
Northwest Indian College,3,4400350
Northwest Missouri State University,1,251998
Northwest Vista College,1,0
Northwestern Connecticut Community College,1,835140
Northwestern University,292,225798904
Northwestern University at Chicago,5,1208417
Norwich University,3,2261539
"Norwood, Alexandra Lynn",2,360000
Nova Southeastern University,9,2907676
"Nsengiyumva, Emmanuel M",2,400000
Nurture Nature Center,2,2003128
"O'Desky, Andrew",1,150000
OAKGROVE BIO LLC,1,1000000
OBLIVIOUS LABS INC.,1,274988
"OCEAN MOTION TECHNOLOGIES, INC.",2,1999954
OCULOGENEX,1,1199722
OFF PLANET RESEARCH L.L.C.,1,996708
"OFF-WORLD, INC.",1,999117
OFM Research,1,62523
"OHIO STATE UNIVERSITY, THE",337,357983874
OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION,3,3095516
OM THERAPEUTICS INC.,1,275000
"OMNICYTE, LLC",1,997689
ONCOBLAZE LLC,1,275000
"ONE SPOT LEARNING, INC.",2,513600
"ONECYTE BIOTECHNOLOGIES, INC.",1,1186726
OPEN SOURCE HARDWARE ASSOCIATION,1,1514468
OPTICAL WATERS LLC,1,983776
"OPTICALX, LLC",1,274996
OSMOSES INC.,1,253815
OSTIIO LLC,1,1000000
OUTER COAST,1,94829
OXBYEL TECHNOLOGIES INC.,1,999978
Oakland University,35,12140308
Oakton Community College,1,441059
Oakwood College,5,2797528
Oberlin College,24,5463460
Occidental College,15,5215479
Oceanography Society,1,25000
Oglala Lakota College,3,2931231
Ohio Dominican University,3,2547335
Ohio Northern University,2,1497678
Ohio University,19,11408038
Ohio Wesleyan University,4,1871810
Ohlone Community College District,3,1382542
"Okamoto, Kristina",1,180000
Oklahoma Medical Research Foundation,2,1530722
Oklahoma State University,98,53706825
"Olander, Noah B",1,190000
Old Dominion University Research Foundation,48,20599001
"Olson, Connor I",1,180000
"OmnEcoil Instruments, Inc.",1,255787
Onai Inc.,1,1794998
"Opie, Morgan P",1,150000
"Optimeos Life Sciences, Inc.",1,1500000
Oral Roberts University,2,894764
"Ordog, Erika Anastasia",1,150000
Oregon Health & Science University,9,4973518
Oregon Museum of Science and Industry,1,2098013
Oregon Research Institute,4,750678
Oregon State University,260,655168003
"Orosz, Florencia",1,150000
Otterbein College,2,1950865
Ouachita Baptist University,1,540000
"Ouyang, Zhimeng",2,300000
"Ovans, Zoe",1,160000
Ozarks Technical Community College,1,345725
PANGEA CHAT LLC,2,2000000
"PARALLEL PIPES, LLC",2,589940
PARAMIUM TECHNOLOGIES LLC,1,1499956
PARAMOUNT PLANET PRODUCT,2,2367784
"PARKVIEW HOSPITAL, INC.",1,175000
PASCAL TAGS INC,1,1731999
PATHFLOW INC.,2,550000
PBS FOUNDATION,1,2499320
PENNSYLVANIA WESTERN UNIVERSITY,6,3536228
"PERCEPTRA TECHNOLOGIES, INC.",2,550000
PHAGE REFINERY LLC,2,547304
PHARMACOUSTICS TECHNOLOGIES LLC,2,1995468
"PHLUX TECHNOLOGIES, INC.",2,1999998
PHOENIX WASTE SOLUTIONS INC.,2,2399988
PHYTUNES INC,1,1199902
"PIERSICA, INC.",1,1000000
PIRVISION LENS LLC,1,295000
PITCH AERONAUTICS INC.,1,274853
PNEUMONIX MEDICAL INC.,1,1199841
"POD NETWORK, LLC",1,295520
"PRAIRIELEARN, INC.",1,274981
PROTEIN DESIGN SOLUTIONS LLC,1,274640
PROVIZIGEN LLC,1,295000
"PSEUDOLITHIC, LLC",2,2982522
PUBLIC POLICY LAB,1,2109800
Pace University New York Campus,4,7829768
Pacific Lutheran University,3,1109981
Pacific Northwest Research Institute,1,2997443
Pacific Resources for Education and Learning,1,1485734
Pacific University,3,3425031
"Padgitt-Cobb, Lillian",1,216000
Paleontological Research Institute,1,377334
Palm Beach State College,1,1553556
"Palmer, David",2,380000
