awardeeName,count_total,total_obligated_funds
Arkansas Science & Technology Authority,2,40000000
Arkansas State University Main Campus,4,2075319
Arkansas Tech University,1,400000
"Arrowsmith, Kathleen Caroline",1,240000
Ascribe Bioscience Inc.,1,1399007
"Ashley, Caleb J",1,300000
Aspen Center For Physics,1,2190625
Aspen Global Change Institute,2,177912
"Associated Universities, Inc.",16,908514349
Association For Symbolic Logic,1,40000
"Association for Women in Mathematics, Inc.",1,1500069
Association of American Colleges and Universities,4,9212997
Association of American Geographers,1,912722
Association of Children's Museums,2,2782534
Association of Public and Land-Grant Universities,4,8358562
Association of Science-Technology Centers,1,74788
"Association of Universities for Research in Astronomy, Inc.",12,499806777
Atlanta Botanical Garden,3,4157821
Atlantic Cape Community College,1,551818
Atmospheric and Environmental Research Inc,1,345667
Auburn University,138,81016358
Auburn University at Montgomery,6,1420371
Augsburg University,8,4945571
Augustana College,3,2731360
Augustana University Association,4,1813940
"Augustine, Jonah",1,165000
Aurora University,1,1449994
Austin Community College,5,16826121
Austin Peay State University,5,1668278
"Avery, Montie S",2,300000
Avila University,1,321123
"Avisi Technologies, Inc",2,3000000
Azusa Pacific University,1,199991
BALLYDEL TECHNOLOGIES INC.,1,951394
"BASS AGRITECH, INC",1,269642
BAY AREA BIOSCIENCE EDUCATION COMMUNITY,1,315445
"BEAMLINK, INC.",1,1390633
BEEKEEPING 101 LLC,2,548000
BENJAMIN FRANKLIN CUMMINGS INSTITUTE OF TECHNOLOGY,4,2648512
BERKM INC,1,274424
"BEYOND SILICON, INC.",2,549998
BEYOND THE DOME INC,2,1999514
"BIOCHIP LABS, INC.",1,1085488
BIOCOGNON LLC,1,273550
BIODESIGN CHALLENGE INC,1,45241
BIODIVERSITY OUTREACH NETWORK,1,300000
BIODYNAMIK,1,295000
BIOINDUSTRIAL MANUFACTURING AND DESIGN ECOSYSTEM,2,3060430
"BIOLATTICE, LLC",1,274416
"BIOMESENSE, INC.",1,1172080
"BIRCH BIOSCIENCES, LLC",1,1000000
BIRED IMAGING INC,1,305000
BLACKHAWK TECHNICAL COLLEGE DISTRICT,1,345365
BLUESTEM BIOSCIENCES INC,1,273910
BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508,2,399992
"BRAINSTORM THERAPEUTICS, INC.",1,275000
BRIDGEVALLEY COMMUNITY & TECHNICAL COLLEGE,2,315482
BRIDGEWATER STATE UNIVERSITY,5,7011031
"BRIGHTLIGHT PHOTONICS, INC",2,550000
BSCS Science Learning,2,4749845
"Bailey, Virginia",1,300000
Bakersfield College,1,199704
Baldwin Wallace University,2,0
Ball State University,8,2326111
Bank Street College of Education,2,2234806
Bard College,3,473633
Barnard College,30,14162697
"Barnes, Julia Gabrielle",1,170000
Bates College,5,869009
Baton Rouge Community College,2,1721630
Battelle Memorial Institute,8,588444437
BattelleEd.org,1,89975
Bay Area Environmental Research Institute,3,749217
Baylor College of Medicine,9,19622748
Baylor University,58,20796459
"Beckey, Jacob Lucas",1,190000
Beckman Research Institute City of Hope,1,50000
Bellarmine University,1,988470
Bellevue College,3,2970025
