inst_name,code,num_grants,state
"PIEZO THERAPEUTICS, INC.",GA,1,Georgia
PIKE ROBOTICS INC.,TX,2,Texas
PINWHEEL SOLAR LLC,NY,1,New York
PIRVISION LENS LLC,CA,1,California
PITCH AERONAUTICS INC.,ID,1,Idaho
PLANCK ENERGIES INC.,MA,1,Massachusetts
PLANETTE ANALYTICS INC,CA,1,California
PLASMA ENERGY INNOVATION,MA,1,Massachusetts
"PLASMACHEM SOLUTIONS, INC.",NY,1,New York
PLASTOMICS INC.,MO,1,Missouri
PLATFORM TECHNOLOGY VENTURES LLC,MA,1,Massachusetts
"PLEXISION, INC.",PA,1,Pennsylvania
"PLEXYMER, INC.",NJ,1,New Jersey
PNEUMONIX MEDICAL INC.,MD,1,Maryland
"POD NETWORK, LLC",CA,1,California
